@relation Abalone
@attribute Sex nominal [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {1, -1}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.53, 0.43, 0.16, 0.7245, 0.321, 0.1275, 0.24, -1
I, 0.53, 0.405, 0.12, 0.632, 0.2715, 0.148, 0.1875, -1
I, 0.565, 0.435, 0.145, 0.8445, 0.3975, 0.158, 0.255, -1
M, 0.575, 0.45, 0.13, 0.785, 0.318, 0.193, 0.2265, -1
M, 0.58, 0.44, 0.16, 0.8295, 0.3365, 0.2005, 0.2485, -1
M, 0.62, 0.49, 0.15, 1.195, 0.4605, 0.302, 0.355, -1
M, 0.565, 0.445, 0.145, 0.9255, 0.4345, 0.212, 0.2475, -1
M, 0.66, 0.515, 0.195, 1.5655, 0.7345, 0.353, 0.386, -1
I, 0.455, 0.37, 0.125, 0.433, 0.201, 0.1265, 0.145, -1
M, 0.44, 0.35, 0.11, 0.4585, 0.2, 0.0885, 0.13, -1
M, 0.455, 0.35, 0.105, 0.401, 0.1575, 0.083, 0.135, -1
F, 0.47, 0.365, 0.12, 0.543, 0.2295, 0.1495, 0.15, -1
F, 0.38, 0.3, 0.09, 0.3215, 0.1545, 0.075, 0.095, -1
F, 0.565, 0.48, 0.175, 0.957, 0.3885, 0.215, 0.275, 1
I, 0.42, 0.305, 0.11, 0.28, 0.094, 0.0785, 0.0955, -1
M, 0.425, 0.315, 0.125, 0.3525, 0.1135, 0.0565, 0.13, 1
I, 0.335, 0.24, 0.095, 0.17, 0.062, 0.039, 0.055, -1
M, 0.475, 0.355, 0.125, 0.4625, 0.186, 0.107, 0.145, -1
M, 0.395, 0.305, 0.105, 0.282, 0.0975, 0.065, 0.096, -1
M, 0.645, 0.485, 0.155, 1.489, 0.5915, 0.312, 0.38, 1
M, 0.525, 0.425, 0.19, 0.872, 0.4625, 0.1725, 0.199, -1
F, 0.565, 0.44, 0.15, 0.983, 0.4475, 0.2355, 0.2485, -1
F, 0.6, 0.475, 0.135, 1.4405, 0.5885, 0.191, 0.3175, -1
M, 0.54, 0.435, 0.14, 0.7345, 0.33, 0.1595, 0.213, -1
M, 0.6, 0.46, 0.15, 1.247, 0.5335, 0.2735, 0.29, -1
F, 0.62, 0.51, 0.175, 1.2705, 0.5415, 0.323, 0.3225, -1
F, 0.625, 0.49, 0.155, 1.115, 0.484, 0.277, 0.3095, -1
M, 0.645, 0.515, 0.16, 1.1845, 0.506, 0.311, 0.335, -1
M, 0.645, 0.48, 0.15, 1.192, 0.6055, 0.2595, 0.285, -1
F, 0.65, 0.49, 0.155, 1.122, 0.545, 0.228, 0.3055, -1
F, 0.665, 0.505, 0.165, 1.349, 0.5985, 0.3175, 0.36, -1
I, 0.505, 0.38, 0.135, 0.5385, 0.2645, 0.095, 0.165, -1
F, 0.575, 0.435, 0.155, 0.8975, 0.4115, 0.2325, 0.23, -1
M, 0.6, 0.45, 0.145, 0.877, 0.4325, 0.155, 0.24, -1
M, 0.6, 0.51, 0.185, 1.285, 0.6095, 0.2745, 0.315, -1
F, 0.54, 0.42, 0.14, 0.8035, 0.38, 0.1805, 0.21, -1
M, 0.6, 0.475, 0.175, 1.11, 0.5105, 0.256, 0.285, -1
I, 0.505, 0.425, 0.125, 0.6115, 0.245, 0.1375, 0.2, -1
M, 0.61, 0.475, 0.175, 1.024, 0.409, 0.261, 0.322, -1
M, 0.61, 0.485, 0.17, 1.281, 0.597, 0.3035, 0.33, -1
I, 0.455, 0.355, 0.105, 0.372, 0.138, 0.0765, 0.135, -1
M, 0.575, 0.47, 0.15, 0.9785, 0.4505, 0.196, 0.276, -1
M, 0.635, 0.5, 0.18, 1.154, 0.4405, 0.2315, 0.387, -1
M, 0.425, 0.335, 0.1, 0.4085, 0.1755, 0.092, 0.135, -1
F, 0.64, 0.54, 0.175, 1.571, 0.627, 0.271, 0.475, 1
M, 0.64, 0.505, 0.165, 1.4435, 0.6145, 0.3035, 0.39, 1
M, 0.545, 0.41, 0.145, 0.873, 0.3035, 0.196, 0.31, 1
M, 0.61, 0.47, 0.155, 1.0325, 0.497, 0.2175, 0.2785, -1
F, 0.585, 0.45, 0.145, 0.9835, 0.4845, 0.242, 0.22, -1
I, 0.475, 0.355, 0.125, 0.4865, 0.2155, 0.1105, 0.142, -1
F, 0.585, 0.465, 0.165, 0.9355, 0.4035, 0.2275, 0.259, -1
F, 0.6, 0.47, 0.17, 1.0805, 0.4995, 0.2245, 0.3205, -1
F, 0.6, 0.485, 0.145, 0.776, 0.3545, 0.1585, 0.239, -1
I, 0.465, 0.37, 0.115, 0.4075, 0.1515, 0.0935, 0.1455, -1
I, 0.53, 0.425, 0.13, 0.781, 0.3905, 0.2005, 0.215, -1
M, 0.53, 0.41, 0.125, 0.769, 0.346, 0.173, 0.215, -1
M, 0.43, 0.31, 0.13, 0.6485, 0.2735, 0.163, 0.184, -1
M, 0.515, 0.37, 0.115, 0.6145, 0.3415, 0.155, 0.146, -1
I, 0.535, 0.45, 0.135, 0.728, 0.2845, 0.1845, 0.265, -1
I, 0.58, 0.42, 0.14, 0.701, 0.3285, 0.102, 0.2255, -1
M, 0.555, 0.445, 0.13, 0.8625, 0.4225, 0.155, 0.24, -1
M, 0.565, 0.445, 0.14, 0.836, 0.406, 0.1605, 0.2245, -1
M, 0.445, 0.37, 0.125, 0.515, 0.2495, 0.087, 0.159, -1
F, 0.57, 0.465, 0.155, 0.9685, 0.446, 0.261, 0.255, -1
F, 0.57, 0.44, 0.19, 1.018, 0.447, 0.207, 0.265, -1
M, 0.295, 0.225, 0.09, 0.1385, 0.048, 0.046, 0.05, -1
F, 0.56, 0.44, 0.155, 0.9705, 0.4315, 0.263, 0.255, -1
F, 0.61, 0.5, 0.18, 1.438, 0.5185, 0.3735, 0.3345, -1
F, 0.555, 0.43, 0.14, 0.7545, 0.3525, 0.1835, 0.2015, -1
M, 0.59, 0.45, 0.16, 0.998, 0.445, 0.214, 0.301, -1
M, 0.61, 0.365, 0.155, 1.0765, 0.488, 0.249, 0.27, -1
F, 0.675, 0.52, 0.175, 1.494, 0.7365, 0.3055, 0.37, -1
F, 0.715, 0.565, 0.18, 1.79, 0.844, 0.3535, 0.5385, -1
F, 0.57, 0.45, 0.15, 0.9645, 0.531, 0.189, 0.209, -1
M, 0.65, 0.525, 0.185, 1.3455, 0.586, 0.278, 0.3865, -1
