@relation Abalone
@attribute Sex nominal [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {1, -1}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.455, 0.35, 0.14, 0.5185, 0.221, 0.1265, 0.135, -1
F, 0.49, 0.38, 0.145, 0.6725, 0.249, 0.181, 0.21, -1
M, 0.27, 0.195, 0.08, 0.1, 0.0385, 0.0195, 0.03, -1
M, 0.325, 0.23, 0.09, 0.147, 0.06, 0.034, 0.045, -1
M, 0.2, 0.14, 0.055, 0.035, 0.0145, 0.0080, 0.01, -1
M, 0.175, 0.125, 0.04, 0.024, 0.0095, 0.0060, 0.0050, -1
M, 0.385, 0.3, 0.095, 0.24, 0.0885, 0.059, 0.085, -1
F, 0.435, 0.335, 0.11, 0.38, 0.1695, 0.086, 0.11, -1
I, 0.47, 0.37, 0.14, 0.4985, 0.2095, 0.1225, 0.145, -1
I, 0.52, 0.405, 0.14, 0.5775, 0.2, 0.145, 0.179, -1
M, 0.29, 0.23, 0.075, 0.1165, 0.043, 0.0255, 0.04, -1
F, 0.44, 0.355, 0.115, 0.415, 0.1585, 0.0925, 0.131, -1
F, 0.38, 0.29, 0.105, 0.257, 0.099, 0.051, 0.085, -1
I, 0.65, 0.515, 0.16, 1.1625, 0.495, 0.203, 0.33, -1
I, 0.615, 0.49, 0.155, 0.9885, 0.4145, 0.195, 0.345, -1
I, 0.48, 0.37, 0.12, 0.514, 0.2075, 0.131, 0.155, -1
I, 0.525, 0.405, 0.15, 0.795, 0.3075, 0.205, 0.255, -1
F, 0.66, 0.53, 0.17, 1.326, 0.519, 0.2625, 0.44, -1
I, 0.485, 0.355, 0.13, 0.581, 0.245, 0.132, 0.168, -1
I, 0.45, 0.35, 0.14, 0.474, 0.21, 0.109, 0.1275, -1
I, 0.45, 0.345, 0.135, 0.443, 0.1975, 0.0875, 0.1175, -1
I, 0.56, 0.425, 0.14, 0.9175, 0.4005, 0.1975, 0.26, -1
I, 0.58, 0.445, 0.15, 0.8865, 0.383, 0.209, 0.255, -1
F, 0.55, 0.41, 0.145, 0.8285, 0.3095, 0.1905, 0.25, -1
F, 0.405, 0.31, 0.12, 0.3095, 0.138, 0.058, 0.095, -1
F, 0.56, 0.445, 0.195, 0.981, 0.305, 0.2245, 0.335, -1
I, 0.515, 0.39, 0.14, 0.5555, 0.2, 0.1135, 0.2235, -1
I, 0.425, 0.345, 0.125, 0.425, 0.16, 0.0795, 0.154, -1
I, 0.485, 0.37, 0.13, 0.458, 0.181, 0.113, 0.136, -1
F, 0.44, 0.345, 0.17, 0.4085, 0.15, 0.0825, 0.1515, -1
I, 0.45, 0.35, 0.145, 0.525, 0.2085, 0.1, 0.1655, -1
F, 0.5, 0.385, 0.105, 0.498, 0.1795, 0.1095, 0.17, -1
F, 0.525, 0.405, 0.16, 0.658, 0.2655, 0.1125, 0.225, -1
I, 0.47, 0.36, 0.13, 0.5225, 0.198, 0.1065, 0.165, -1
I, 0.44, 0.345, 0.12, 0.487, 0.1965, 0.108, 0.16, -1
M, 0.33, 0.215, 0.075, 0.1145, 0.045, 0.0265, 0.035, -1
M, 0.31, 0.225, 0.08, 0.1345, 0.054, 0.024, 0.05, -1
F, 0.37, 0.28, 0.11, 0.2305, 0.0945, 0.0465, 0.075, -1
F, 0.415, 0.34, 0.13, 0.3675, 0.146, 0.0885, 0.12, -1
F, 0.5, 0.38, 0.155, 0.655, 0.2405, 0.143, 0.205, -1
F, 0.45, 0.38, 0.165, 0.8165, 0.25, 0.1915, 0.265, -1
I, 0.37, 0.275, 0.1, 0.2295, 0.0885, 0.0465, 0.07, -1
F, 0.435, 0.325, 0.115, 0.3915, 0.154, 0.094, 0.12, -1
F, 0.535, 0.405, 0.125, 0.927, 0.26, 0.1425, 0.345, -1
M, 0.38, 0.29, 0.12, 0.283, 0.1175, 0.0655, 0.085, -1
I, 0.315, 0.23, 0.09, 0.1285, 0.043, 0.04, 0.04, -1
F, 0.445, 0.33, 0.105, 0.4525, 0.18, 0.103, 0.123, -1
M, 0.555, 0.455, 0.16, 1.0575, 0.3925, 0.228, 0.293, -1
M, 0.505, 0.4, 0.125, 0.77, 0.2735, 0.159, 0.255, -1
M, 0.51, 0.39, 0.125, 0.6565, 0.262, 0.1835, 0.175, -1
F, 0.535, 0.42, 0.15, 0.7365, 0.2785, 0.186, 0.215, -1
M, 0.52, 0.385, 0.14, 0.6595, 0.2485, 0.2035, 0.16, -1
M, 0.695, 0.515, 0.175, 1.5165, 0.578, 0.4105, 0.39, -1
F, 0.55, 0.44, 0.155, 0.946, 0.313, 0.1825, 0.335, -1
F, 0.61, 0.47, 0.145, 1.153, 0.403, 0.296, 0.32, -1
I, 0.485, 0.375, 0.14, 0.521, 0.2, 0.123, 0.17, -1
M, 0.53, 0.41, 0.165, 0.732, 0.189, 0.17, 0.31, -1
I, 0.385, 0.28, 0.125, 0.244, 0.102, 0.038, 0.085, -1
I, 0.215, 0.155, 0.06, 0.0525, 0.021, 0.0165, 0.015, -1
M, 0.55, 0.415, 0.175, 1.042, 0.3295, 0.2325, 0.2905, -1
F, 0.515, 0.39, 0.13, 0.5755, 0.1975, 0.13, 0.1845, -1
M, 0.47, 0.37, 0.18, 0.51, 0.1915, 0.1285, 0.1625, -1
M, 0.575, 0.45, 0.165, 0.9215, 0.3275, 0.225, 0.256, -1
I, 0.28, 0.205, 0.07, 0.1015, 0.041, 0.03, 0.03, -1
M, 0.505, 0.405, 0.14, 0.875, 0.2665, 0.174, 0.285, -1
I, 0.235, 0.175, 0.055, 0.067, 0.027, 0.0125, 0.018, -1
I, 0.315, 0.24, 0.085, 0.1715, 0.071, 0.0345, 0.0535, -1
I, 0.36, 0.3, 0.085, 0.27, 0.1185, 0.064, 0.0745, -1
I, 0.365, 0.275, 0.135, 0.24, 0.108, 0.0445, 0.0735, -1
I, 0.37, 0.275, 0.14, 0.2215, 0.097, 0.0455, 0.0615, -1
I, 0.44, 0.365, 0.115, 0.501, 0.2435, 0.084, 0.1465, -1
I, 0.475, 0.365, 0.125, 0.5465, 0.229, 0.1185, 0.172, -1
M, 0.49, 0.385, 0.125, 0.609, 0.3065, 0.096, 0.1775, -1
F, 0.55, 0.45, 0.15, 0.875, 0.362, 0.1755, 0.2765, -1
F, 0.595, 0.48, 0.15, 1.11, 0.498, 0.228, 0.33, -1
F, 0.605, 0.475, 0.175, 1.382, 0.609, 0.2325, 0.3985, -1
F, 0.62, 0.505, 0.16, 1.3725, 0.6285, 0.275, 0.3685, -1
F, 0.685, 0.54, 0.16, 1.6675, 0.833, 0.3775, 0.475, -1
I, 0.24, 0.175, 0.055, 0.0705, 0.025, 0.014, 0.021, -1
I, 0.3, 0.23, 0.095, 0.1385, 0.056, 0.0365, 0.037, -1
I, 0.315, 0.235, 0.075, 0.1485, 0.0585, 0.0375, 0.0425, -1
I, 0.315, 0.23, 0.07, 0.144, 0.053, 0.0305, 0.04, -1
I, 0.325, 0.24, 0.075, 0.187, 0.0825, 0.0445, 0.05, -1
I, 0.335, 0.25, 0.075, 0.186, 0.0945, 0.038, 0.0445, -1
I, 0.41, 0.31, 0.09, 0.339, 0.155, 0.0695, 0.09, -1
I, 0.42, 0.32, 0.115, 0.376, 0.169, 0.092, 0.1, -1
I, 0.43, 0.325, 0.09, 0.425, 0.217, 0.087, 0.095, -1
I, 0.45, 0.36, 0.13, 0.478, 0.191, 0.127, 0.137, -1
I, 0.45, 0.345, 0.11, 0.47, 0.2355, 0.0855, 0.1135, -1
I, 0.46, 0.36, 0.1, 0.4635, 0.2325, 0.093, 0.115, -1
I, 0.465, 0.365, 0.115, 0.467, 0.2315, 0.0925, 0.113, -1
M, 0.48, 0.365, 0.12, 0.6015, 0.312, 0.117, 0.14, -1
M, 0.495, 0.4, 0.135, 0.61, 0.272, 0.1435, 0.144, -1
M, 0.5, 0.39, 0.135, 0.6595, 0.3145, 0.1535, 0.1565, -1
I, 0.5, 0.385, 0.12, 0.56, 0.2835, 0.103, 0.135, -1
I, 0.505, 0.355, 0.125, 0.601, 0.25, 0.1205, 0.185, -1
M, 0.515, 0.39, 0.155, 0.7125, 0.3695, 0.137, 0.155, -1
M, 0.525, 0.4, 0.14, 0.7325, 0.334, 0.1575, 0.17, -1
F, 0.565, 0.4, 0.13, 0.6975, 0.3075, 0.1665, 0.18, -1
M, 0.57, 0.45, 0.155, 1.1935, 0.513, 0.21, 0.343, -1
F, 0.57, 0.455, 0.15, 1.107, 0.54, 0.255, 0.27, -1
M, 0.575, 0.475, 0.16, 1.114, 0.4955, 0.2745, 0.29, -1
F, 0.575, 0.46, 0.16, 1.103, 0.538, 0.221, 0.249, -1
F, 0.595, 0.46, 0.14, 1.0045, 0.4655, 0.2095, 0.2515, -1
M, 0.61, 0.47, 0.15, 1.1625, 0.565, 0.258, 0.3085, -1
M, 0.61, 0.475, 0.155, 1.168, 0.554, 0.239, 0.3295, -1
F, 0.615, 0.48, 0.16, 1.2525, 0.585, 0.2595, 0.33, -1
F, 0.625, 0.5, 0.165, 1.288, 0.573, 0.3035, 0.315, -1
F, 0.645, 0.515, 0.15, 1.212, 0.515, 0.2055, 0.385, -1
F, 0.655, 0.51, 0.175, 1.6525, 0.8515, 0.3365, 0.403, -1
M, 0.69, 0.525, 0.175, 1.7005, 0.8255, 0.362, 0.405, -1
F, 0.695, 0.535, 0.175, 1.8385, 0.8035, 0.396, 0.503, -1
F, 0.715, 0.525, 0.185, 1.56, 0.6655, 0.383, 0.405, -1
I, 0.225, 0.165, 0.055, 0.059, 0.027, 0.0125, 0.015, -1
I, 0.34, 0.265, 0.08, 0.2015, 0.09, 0.0475, 0.055, -1
M, 0.43, 0.335, 0.12, 0.397, 0.1985, 0.0865, 0.1035, -1
I, 0.435, 0.33, 0.11, 0.413, 0.2055, 0.096, 0.096, -1
I, 0.44, 0.33, 0.11, 0.3705, 0.1545, 0.084, 0.12, -1
I, 0.45, 0.365, 0.125, 0.462, 0.2135, 0.0985, 0.1315, -1
I, 0.45, 0.33, 0.1, 0.411, 0.1945, 0.1, 0.098, -1
I, 0.45, 0.33, 0.11, 0.3685, 0.16, 0.0885, 0.102, -1
M, 0.47, 0.36, 0.105, 0.544, 0.27, 0.1395, 0.129, -1
I, 0.5, 0.38, 0.125, 0.519, 0.2485, 0.1135, 0.134, -1
I, 0.515, 0.385, 0.125, 0.6115, 0.3175, 0.1265, 0.15, -1
I, 0.525, 0.4, 0.13, 0.6455, 0.325, 0.1245, 0.17, -1
F, 0.55, 0.415, 0.135, 0.8145, 0.427, 0.1855, 0.175, -1
M, 0.55, 0.425, 0.15, 0.8315, 0.411, 0.1765, 0.2165, -1
M, 0.56, 0.445, 0.16, 0.8965, 0.42, 0.2175, 0.2215, -1
F, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, -1
M, 0.565, 0.455, 0.15, 0.9595, 0.4565, 0.2395, 0.23, -1
F, 0.57, 0.445, 0.145, 0.8775, 0.412, 0.217, 0.22, -1
M, 0.575, 0.445, 0.145, 0.847, 0.415, 0.1945, 0.22, -1
M, 0.585, 0.465, 0.16, 0.9555, 0.4595, 0.236, 0.265, -1
F, 0.6, 0.475, 0.16, 1.0265, 0.485, 0.2495, 0.2565, -1
M, 0.61, 0.485, 0.145, 1.3305, 0.783, 0.2255, 0.2865, -1
M, 0.62, 0.45, 0.2, 0.858, 0.4285, 0.1525, 0.2405, -1
F, 0.625, 0.485, 0.175, 1.3745, 0.7335, 0.2715, 0.332, -1
F, 0.645, 0.48, 0.17, 1.1345, 0.528, 0.254, 0.305, -1
F, 0.67, 0.505, 0.205, 1.3645, 0.6075, 0.3025, 0.353, -1
F, 0.705, 0.55, 0.17, 1.219, 0.6395, 0.236, 0.301, -1
F, 0.71, 0.56, 0.18, 1.652, 0.735, 0.381, 0.4525, -1
M, 0.725, 0.505, 0.185, 1.978, 1.026, 0.4255, 0.4505, -1
F, 0.73, 0.575, 0.185, 1.8795, 0.931, 0.38, 0.4825, -1
I, 0.245, 0.205, 0.06, 0.0765, 0.034, 0.014, 0.0215, -1
I, 0.325, 0.225, 0.075, 0.139, 0.0565, 0.032, 0.09, -1
I, 0.345, 0.255, 0.095, 0.1945, 0.0925, 0.037, 0.055, -1
I, 0.37, 0.28, 0.085, 0.217, 0.1095, 0.035, 0.062, -1
I, 0.375, 0.275, 0.095, 0.2465, 0.11, 0.0415, 0.0775, -1
I, 0.385, 0.29, 0.09, 0.2615, 0.111, 0.0595, 0.0745, -1
I, 0.395, 0.295, 0.095, 0.2725, 0.115, 0.0625, 0.085, -1
I, 0.395, 0.27, 0.1, 0.2985, 0.1445, 0.061, 0.082, -1
I, 0.425, 0.32, 0.1, 0.3055, 0.126, 0.06, 0.106, -1
I, 0.48, 0.355, 0.115, 0.4725, 0.2065, 0.112, 0.132, -1
I, 0.495, 0.355, 0.12, 0.4965, 0.214, 0.1045, 0.1495, -1
I, 0.5, 0.38, 0.135, 0.594, 0.2945, 0.104, 0.1565, -1
M, 0.525, 0.42, 0.155, 0.842, 0.428, 0.1415, 0.2045, -1
I, 0.53, 0.415, 0.11, 0.5745, 0.2525, 0.1235, 0.189, -1
F, 0.535, 0.41, 0.13, 0.7145, 0.335, 0.144, 0.2075, -1
M, 0.55, 0.43, 0.15, 0.8745, 0.413, 0.1905, 0.248, -1
I, 0.55, 0.425, 0.135, 0.7305, 0.3325, 0.1545, 0.215, -1
I, 0.56, 0.425, 0.135, 0.8205, 0.3715, 0.185, 0.236, -1
M, 0.565, 0.39, 0.125, 0.744, 0.352, 0.13, 0.1685, -1
M, 0.58, 0.455, 0.135, 0.7955, 0.405, 0.167, 0.204, -1
I, 0.585, 0.475, 0.16, 1.0505, 0.48, 0.234, 0.285, -1
I, 0.605, 0.435, 0.13, 0.9025, 0.432, 0.174, 0.26, -1
M, 0.61, 0.48, 0.165, 1.244, 0.6345, 0.257, 0.305, -1
I, 0.61, 0.465, 0.15, 0.9605, 0.4495, 0.1725, 0.286, -1
M, 0.61, 0.48, 0.17, 1.137, 0.4565, 0.29, 0.347, -1
M, 0.61, 0.46, 0.16, 1.0, 0.494, 0.197, 0.275, -1
F, 0.615, 0.475, 0.155, 1.004, 0.4475, 0.193, 0.2895, -1
M, 0.615, 0.475, 0.17, 1.129, 0.4795, 0.302, 0.3, -1
M, 0.615, 0.48, 0.175, 1.118, 0.446, 0.3195, 0.3, -1
M, 0.62, 0.495, 0.18, 1.2555, 0.5765, 0.254, 0.355, -1
M, 0.63, 0.495, 0.16, 1.093, 0.497, 0.221, 0.315, -1
M, 0.645, 0.5, 0.195, 1.401, 0.6165, 0.3515, 0.3725, -1
F, 0.655, 0.525, 0.19, 1.3595, 0.564, 0.3215, 0.3985, -1
F, 0.665, 0.53, 0.18, 1.491, 0.6345, 0.342, 0.435, -1
I, 0.365, 0.255, 0.08, 0.1985, 0.0785, 0.0345, 0.053, -1
I, 0.405, 0.3, 0.105, 0.304, 0.1455, 0.061, 0.0805, -1
I, 0.425, 0.34, 0.105, 0.389, 0.2015, 0.0905, 0.088, -1
M, 0.44, 0.32, 0.12, 0.4565, 0.2435, 0.092, 0.1025, -1
I, 0.48, 0.36, 0.125, 0.542, 0.2795, 0.1025, 0.147, -1
M, 0.515, 0.425, 0.145, 0.9365, 0.497, 0.181, 0.2185, -1
M, 0.525, 0.4, 0.14, 0.7205, 0.3685, 0.145, 0.1735, -1
F, 0.58, 0.435, 0.14, 0.953, 0.475, 0.2165, 0.2095, -1
F, 0.59, 0.465, 0.15, 1.151, 0.613, 0.239, 0.2515, -1
F, 0.595, 0.455, 0.16, 1.04, 0.452, 0.2655, 0.288, -1
F, 0.605, 0.485, 0.165, 0.9515, 0.4535, 0.193, 0.2765, -1
M, 0.625, 0.47, 0.18, 1.136, 0.451, 0.3245, 0.305, -1
F, 0.63, 0.5, 0.175, 1.1105, 0.467, 0.268, 0.329, -1
F, 0.655, 0.54, 0.215, 1.5555, 0.695, 0.296, 0.444, -1
M, 0.67, 0.545, 0.2, 1.7025, 0.833, 0.374, 0.41, -1
F, 0.68, 0.5, 0.185, 1.741, 0.7665, 0.3255, 0.4685, -1
I, 0.285, 0.21, 0.055, 0.101, 0.0415, 0.017, 0.0335, -1
I, 0.335, 0.255, 0.08, 0.168, 0.079, 0.0355, 0.05, -1
I, 0.355, 0.27, 0.075, 0.1775, 0.079, 0.0315, 0.054, -1
I, 0.38, 0.285, 0.095, 0.243, 0.0895, 0.0665, 0.075, -1
I, 0.385, 0.28, 0.095, 0.257, 0.119, 0.059, 0.07, -1
I, 0.385, 0.3, 0.09, 0.308, 0.1525, 0.056, 0.0835, -1
I, 0.39, 0.3, 0.09, 0.252, 0.1065, 0.053, 0.08, -1
I, 0.39, 0.285, 0.1, 0.281, 0.1275, 0.062, 0.077, -1
I, 0.39, 0.29, 0.1, 0.2225, 0.095, 0.0465, 0.073, -1
I, 0.415, 0.325, 0.1, 0.313, 0.139, 0.0625, 0.0965, -1
I, 0.435, 0.335, 0.1, 0.3295, 0.129, 0.07, 0.11, -1
I, 0.45, 0.335, 0.11, 0.4195, 0.181, 0.085, 0.1345, -1
I, 0.46, 0.355, 0.11, 0.4255, 0.2015, 0.081, 0.13, -1
I, 0.465, 0.345, 0.11, 0.393, 0.1825, 0.0735, 0.12, -1
I, 0.475, 0.36, 0.125, 0.4905, 0.205, 0.1305, 0.125, -1
I, 0.49, 0.375, 0.115, 0.4615, 0.204, 0.0945, 0.143, -1
I, 0.5, 0.375, 0.14, 0.559, 0.2375, 0.135, 0.169, -1
I, 0.515, 0.35, 0.105, 0.4745, 0.213, 0.123, 0.1275, -1
I, 0.515, 0.39, 0.125, 0.5705, 0.238, 0.1265, 0.185, -1
I, 0.525, 0.38, 0.135, 0.615, 0.261, 0.159, 0.175, -1
I, 0.53, 0.4, 0.145, 0.555, 0.1935, 0.1305, 0.195, -1
I, 0.55, 0.415, 0.145, 0.7815, 0.373, 0.16, 0.2215, -1
I, 0.555, 0.395, 0.13, 0.5585, 0.222, 0.1245, 0.17, -1
I, 0.57, 0.445, 0.145, 0.7405, 0.306, 0.172, 0.1825, -1
F, 0.575, 0.47, 0.155, 1.116, 0.509, 0.238, 0.34, -1
I, 0.575, 0.445, 0.17, 0.8015, 0.3475, 0.1465, 0.25, -1
